"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.384,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.512,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.39,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.555,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2002",4.007,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.034,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.038,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.089,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.839,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2007",4.333,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.215,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.237,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.76,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.529,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2012",4.101,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.863,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2014",4.008,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2015",4.711,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.689,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.272,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.609,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2019",4.901,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2020",4.878,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2021",4.076,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.105,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2002",3.227,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2003",3.051,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2004",3.329,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2005",3.206,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.343,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2007",3.813,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.064,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.707,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2010",3.117,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.348,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2012",3.91,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.585,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.26,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.623,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.707,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.032,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.185,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.195,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.203,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.211,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2001",4.766,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2002",5.1,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.491,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.478,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.752,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2006",5.227,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2007",5.082,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2008",5.084,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2009",4.969,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2010",5.419,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2011",5.478,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2012",5.657,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2013",5.293,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2014",5.194,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2015",4.526,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2016",5.339,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.297,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2018",5.437,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.546,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2020",5.325,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2021",5.351,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2001",7.145,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2002",7.485,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2003",6.55,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2004",8.092,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2005",6.896,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2006",8.497,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2007",8.112,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2008",7.492,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2009",8.124,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2010",7.286,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2011",8.925,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2012",9.105,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2013",9.536,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2014",8.615,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2015",8.315,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2016",9.186,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2017",9.883,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2018",8.961,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2019",8.847,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2020",10.929,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2021",10.962,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.033,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2002",2.097,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.088,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.258,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.324,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.357,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.128,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.198,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.543,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.428,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.693,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.669,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.837,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2014",2.399,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.873,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.685,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.774,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.576,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.458,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.646,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.663,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.7,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2002",2.377,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.97,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.903,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.826,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.604,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.726,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2008",3.017,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.989,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2010",3.118,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.942,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2012",3.104,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.17,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2014",2.937,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.932,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.545,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.112,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.201,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.474,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.346,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.306,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.235,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2002",2.033,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.539,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.631,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.531,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.626,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.827,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.963,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.535,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2010",3.508,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.171,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.574,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.521,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2014",2.648,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.58,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.893,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.12,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.094,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.862,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.567,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.941,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.42,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2002",2.227,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.121,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.063,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2005",1.271,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.213,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.456,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.07,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.736,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.672,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.311,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.502,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.165,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2014",2.26,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.613,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.511,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.088,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.66,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.204,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.717,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.527,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2001",4.272,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2002",4.32,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.576,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.576,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2005",5.879,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2006",6.052,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2007",4.568,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.075,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2009",5.773,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2010",5.816,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2011",4.951,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2012",5.806,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2013",5.326,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2014",5.635,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2015",6.077,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2016",5.996,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2017",6.225,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2018",6.286,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2019",6.004,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2020",5.98,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2021",6.01,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.806,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2002",3.777,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2003",3.932,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.252,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.275,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2006",4.594,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2007",4.617,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.762,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2009",4.739,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2010",4.748,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2011",4.837,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2012",4.986,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2013",5.056,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2014",5.264,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2015",5.393,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2016",5.397,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.481,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2018",5.417,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.631,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2020",5.742,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2021",5.597,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.133,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.519,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2003",1.725,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.87,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.632,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.335,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.125,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.212,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.033,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.243,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.048,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.938,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.331,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2014",2.34,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2015",1.782,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.347,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.068,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.2,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2020",1.667,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2021",1.6,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2001",6.357,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2002",6.432,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2003",6.501,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2004",6.555,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2005",6.492,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2006",6.429,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2007",6.467,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2008",6.501,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2009",6.384,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2010",5.572,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2011",6.542,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2012",6.583,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2013",6.667,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2014",6.512,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2015",6.59,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2016",6.631,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2017",6.86,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2018",6.296,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2019",6.383,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2020",6.316,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2021",6.466,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.326,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.439,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2003",1.388,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.469,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2005",1.557,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2006",1.52,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2007",1.671,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.624,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.827,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2010",1.839,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.029,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.11,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.444,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2014",2.612,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.87,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.801,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.866,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.986,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.281,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.117,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.208,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.708,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2002",2.762,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.61,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.713,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.602,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.619,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.708,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.802,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.907,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.84,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.989,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2012",3.178,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.154,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.146,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.75,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.053,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.2,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.377,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.461,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.362,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.396,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2001",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2002",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2003",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2004",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2005",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2006",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2007",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2008",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2009",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2010",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2011",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2012",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2013",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2014",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2015",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2016",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2017",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2018",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2020",1,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2021",1.03,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.703,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.995,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.068,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.155,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.308,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.365,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.482,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.334,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.819,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2010",1.834,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2011",1.361,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.348,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2013",1.454,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2014",1.745,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.016,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.461,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.09,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.164,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.37,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.288,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.299,
